run_id,phase,host,runtime,model_id,weight_quant,kv_quant,rope_cfg,ctx_len,batch,in_tok,out_tok,n_trials,ttft_ms_mean,ttft_ms_std,tpot_ms_mean,tpot_ms_std,gen_tps,weights_gb,kv_pool_tokens,vram_peak_gb,eff_kv_bits,status,notes
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,16384,1,98304,1536,6,1568.8238741519551,670.0424774189813,16.950483305464967,0.02229115050712564,43.45413638031076,14.2717,110896,,16,OK, src=p1_bf16_16384_c1.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,16384,4,196608,3072,12,1829.8879521122824,1773.3771027294642,30.12238461037282,9.229989813426512,106.85913627196659,14.2717,110896,,16,OK, src=p1_bf16_16384_c4.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,16384,8,393216,6144,24,6814.683677473416,4121.991157530023,57.29948195257511,11.697528318293811,92.51373338685109,14.2717,110896,,16,OK, src=p1_bf16_16384_c8.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,32768,1,196608,1536,6,3783.818500737349,1637.4987005321693,18.020286835924864,0.009811942701648113,30.552359680130785,14.2717,110896,,16,OK, src=p1_bf16_32768_c1.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,32768,4,393216,3072,12,9347.493801731616,4522.991391176757,56.64950959518356,12.274905367423406,41.5775804912942,14.2717,110896,,16,OK, src=p1_bf16_32768_c4.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,32768,8,786432,5889,24,31786.360964140233,11179.623366090367,56.979817865957884,10.622580780368846,38.963735078558535,14.2717,110896,,16,OK, src=p1_bf16_32768_c8.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,4096,1,24504,1464,6,330.5617712127666,133.56134872913987,16.160261163484638,0.03563630502595157,57.30820330636563,14.2717,110896,,16,OK, src=p1_bf16_4096_c1.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,4096,4,48975,3072,12,431.3272754661739,373.02475736043897,18.60717348054392,1.2737604336457795,197.34313210772183,14.2717,110896,,16,OK, src=p1_bf16_4096_c4.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,4096,8,98127,6144,24,674.5569598861039,570.4490659581946,21.76251676195344,3.0797669714577487,326.93840454296867,14.2717,110896,,16,OK, src=p1_bf16_4096_c8.json
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,63488,1,380928,1536,6,9600.260655085245,4196.403236934483,19.978901114485232,0.026962515589653447,17.42095230083988,14.2717,110896,,16,OK, src=p1_bf16_63488_c1.json
